"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","Successful Login","SUCCESS","2023-06-07T20:03:16.6754-05:00[America/Bogota]","0.0","55.93"
"Login User","Field Validations email address","SUCCESS","2023-06-07T20:04:15.407227-05:00[America/Bogota]","0.0","66.36"
"Login User","Field Validations password","FAILURE","2023-06-07T20:05:23.429382-05:00[America/Bogota]","0.0","33.5"
"Login User","Incorrect Login","FAILURE","2023-06-07T20:05:58.669785-05:00[America/Bogota]","0.0","32.24"
